,District,Count_of_Banned from Libraries and Classrooms_Books,Count_of_Banned from Libraries_Books,Count_of_Banned from Classrooms_Books,Count_of_Banned Pending Investigation_Books,sum_total_challenges_bans,Most_Occurring_Book,State
0,Alamance-Burlington School District,1,17,1,1,20,"(1, 'Gender Queer: A Memoir')",North Carolina
1,Alpine School District,22,1,1,3,27,"(1, 'Twisted')",Utah
2,Bay District Schools,1,14,7,1,23,"(1, 'Ace of Spades')",Florida
3,Beaufort County School District,3,1,1,82,87,"(1, 'The Poet X')",South Carolina
4,Belton Independent School District,3,9,2,4,18,"(1, 'What Girls Are Made Of')",Texas
5,Brevard Public Schools,149,2,1,2,154,"(1, ""The Lion Children's Bible: Stories from the Old and New Testaments"")",Florida
6,Broward County Public Schools,3,4,1,37,45,"(1, 'Killing Mr. Griffin')",Florida
7,Campbell County Schools,3,9,1,3,16,"(1, 'Tricks')",Kentucky
8,Canyons School District,21,7,1,2,31,"(1, 'Simon vs. the Homo Sapiens Agenda')",Utah
9,Central Bucks School District,2,21,1,2,26,"(1, 'This Book Is Gay')",Pennsylvania
10,Central York School District,2,3,1,298,304,"(1, 'A Court of Mist and Fury')",Pennsylvania
11,Cherry Creek School District,1,7,1,4,13,"(1, 'Flamer')",Colorado
12,Chippewa Valley Schools,6,1,1,199,207,"(1, 'The Absolutely True Diary of a Part-Time Indian')",Michigan
13,Clay County School District,97,12,1,2,112,"(1, 'Ace of Spades')",Florida
14,Collier County Public Schools,2,1,2,19,24,"(1, 'The Absolutely True Diary of a Part-Time Indian')",Florida
15,Conroe Independent School District,75,5,3,1,84,"(1, 'The Haters')",Texas
16,Conway Public Schools,2,2,1,50,55,"(1, 'Felix Ever After')",Arkansas
17,Cumberland County Schools,2,6,1,16,25,"(1, 'Homegoing')",North Carolina
18,Cypress-Fairbanks Independent School District,2,4,1,1,8,"(1, 'Fun Home: A Family Tragicomic')",Texas
19,Davis School District,36,246,0,29,311,"(1, 'The Poet X')",Utah
20,Davison Community Schools,8,4,0,25,37,"(1, 'Simon vs. the Homo Sapiens Agenda')",Michigan
21,Dearborn Public Schools,2,2,0,2,6,"(1, 'Flamer')",Michigan
22,Duval County Public Schools,24,9,0,1,34,"(1, 'Thirteen Reasons Why')",Florida
23,Escambia County Public Schools,1,2,0,1,4,"(1, 'Ace of Spades')",Florida
24,Flagler Schools,13,12,0,8,33,"(1, 'Ace of Spades')",Florida
25,Florida School for the Deaf & the Blind,4,5,0,55,64,"(1, 'Draw Me a Star')",Florida
26,Fort Worth Independent School District,3,2,0,2,7,"(1, 'Wait, What?: A Comic Book Guide to Relationships, Bodies, and Growing Up')",Texas
27,Fox C-6 School District,3,8,0,20,31,"(1, ""The Handmaid's Tale: The Graphic Novel"")",Missouri
28,Frisco Independent School District,103,19,0,10,132,"(1, 'Liar, Temptress, Soldier, Spy: Four Women Undercover in the Civil War')",Texas
29,Galesburg-Augusta Community Schools,1,4,0,33,38,"(1, 'Gender Queer: A Memoir')",Michigan
30,Gardner Edgerton School District 231,7,1,0,131,139,"(1, 'Come Back to Me')",Kansas
31,Gilchrist County Schools,9,13,0,6,28,"(1, 'Bury the Dead: Tombs, Corpses, Mummies, Skeletons and Rituals')",Florida
32,Granite School District,15,5,0,27,47,"(1, 'The Poet X')",Utah
33,Hanover County Public Schools,18,5,0,1,24,"(1, 'Me and Earl and the Dying Girl')",Virginia
34,Hernando County Schools,17,1,0,2,20,"(1, 'Burned (EH)')",Florida
35,Highlands Schools,4,3,0,1,8,"(1, 'The Absolutely True Diary of a Part-Time Indian')",Florida
36,Hillsborough County Public Schools,1,6,0,5,12,"(1, 'This Book Is Gay')",Florida
37,Horry County Schools,12,11,0,33,56,"(1, 'What Riley Wore')",South Carolina
38,Houston County School District,2,7,0,1,10,"(1, 'Drag Teen')",Tennessee
39,Hudsonville Public Schools,1,2,0,1,4,"(1, ""Jarhead: A Marine's Chronicle of the Gulf War and Other Battles"")",Michigan
40,Indian River County Schools,4,2,0,24,30,"(1, ""Anne Frank's Diary: The Graphic Adaptation"")",Florida
41,Jordan School District,7,7,0,1,15,"(1, 'The Haters')",Utah
42,Katy Independent School District,2,3,0,58,63,"(1, 'What Girls Are Made Of')",Texas
43,Keller Independent School District,50,2,0,10,62,"(1, 'The Poet X')",Texas
44,Kirkwood School District,14,1,0,5,20,"(1, 'The Daughters of Ys')",Missouri
45,Lake County Schools,7,1,0,1,9,"(1, 'The Absolutely True Diary of a Part-Time Indian')",Florida
46,Lake Travis Independent School District,6,23,0,217,246,"(1, 'The Poet X')",Texas
47,Lexington County School District 3,1,2,0,27,30,"(1, 'Stamped: Racism, Antiracism, and You')",South Carolina
48,Loudoun County Public Schools,1,1,0,2,4,"(1, 'Seeing Gender: An Illustrated Guide to Identity and Expression')",Virginia
49,Madison County Public Schools,19,1,0,0,20,"(1, 'The Absolutely True Diary of a Part-Time Indian')",Virginia
50,Maine School Administrative District #52,1,9,0,0,10,"(1, 'Gender Queer: A Memoir')",Maine
51,Marion County Public Schools,7,1,0,0,8,"(1, 'The Absolutely True Diary of a Part-Time Indian')",Florida
52,Martin County Schools,109,2,0,0,111,"(1, 'The Absolutely True Diary of a Part-Time Indian')",Florida
53,Miami-Dade Public Schools,3,3,0,0,6,"(1, 'Cuban Kids')",Florida
54,Nebo School District,11,1,0,0,12,"(1, 'Clap When You Land')",Utah
55,Nixa Public Schools,4,12,0,0,16,"(1, ""The Handmaid's Tale: The Graphic Novel"")",Missouri
56,Okaloosa County Schools District,1,19,0,0,20,"(1, 'The Absolutely True Diary of a Part-Time Indian')",Florida
57,Orange County Public Schools,7,1,0,0,8,"(1, 'This Book Is Gay')",Florida
58,Pender County Schools,1,11,0,0,12,"(1, 'The Absolutely True Diary of a Part-Time Indian')",North Carolina
59,Penncrest School District,20,1,0,0,21,"(1, 'The Absolutely True Diary of a Part-Time Indian')",Pennsylvania
60,Perkiomen Valley School District,2,3,0,0,5,"(1, 'The Black Flamingo')",Pennsylvania
61,Pinellas School District,1,1,0,0,2,"(1, 'The Bluest Eye')",Florida
62,Regional School Unit #56,1,3,0,0,4,"(1, 'Gender Queer: A Memoir')",Maine
63,Ritenour School District,1,1,0,0,2,"(1, ""The Complete Maus: A Survivor's Tale"")",Missouri
64,Robertson County Schools,1,0,0,0,1,"(1, 'Laura Dean Keeps Breaking Up with Me')",Tennessee
65,Rockwood School District,22,0,0,0,22,"(1, ""Zahra's Paradise"")",Missouri
66,Santa Rosa County District Schools,13,0,0,0,13,"(1, ""Zahra's Paradise"")",Florida
67,Sarasota County Schools,1,0,0,0,1,"(1, 'Lawn Boy')",Florida
68,School District of Hamilton County,19,0,0,0,19,"(1, 'The Poet X')",Florida
69,School District of Manatee County,16,0,0,0,16,"(1, 'Me and Earl and the Dying Girl')",Florida
70,School District of Osceola County,26,0,0,0,26,"(1, 'Me and Earl and the Dying Girl')",Florida
71,School District of Pickens County,2,0,0,0,2,"(1, 'The Perks of Being a Wallflower')",South Carolina
72,School District of Waukesha,2,0,0,0,2,"(1, 'Tricks')",Wisconsin
73,Seminole County Public Schools,2,0,0,0,2,"(1, '10,000 Dresses')",Florida
74,Sheboygan Area School District,3,0,0,0,3,"(1, 'Are You My Mother?: A Comic Drama')",Wisconsin
75,Sioux City Community School District,1,0,0,0,1,"(1, 'This Book Is Gay')",Iowa
76,Somers Central School District,1,0,0,0,1,"(1, 'Me and White Supremacy: Combat Racism, Change the World, and Become a Good Ancestor')",New York
77,Spotsylvania County Public Schools,30,0,0,0,30,"(1, 'Me and Earl and the Dying Girl')",Virginia
78,St. Clair R-XIII School District,1,0,0,0,1,"(1, 'The Hate U Give')",Missouri
79,St. John's County School District,7,0,0,0,7,"(1, 'Call Me By Your Name')",Florida
80,St. Lucie Public Schools,1,0,0,0,1,"(1, 'Mixed: A Colorful Story')",Florida
81,Sumner County Schools,1,0,0,0,1,"(1, 'Lawn Boy')",Tennessee
82,Tulsa Public Schools,2,0,0,0,2,"(1, 'Flamer')",Oklahoma
83,Volusia County Schools,74,0,0,0,74,"(1, 'The Upside of Unrequited')",Florida
84,Wakulla County School District,1,0,0,0,1,"(1, 'Little Rock Nine')",Florida
85,Wasatch School District,11,0,0,0,11,"(1, 'Twisted')",Utah
86,Washington County School District,58,0,0,0,58,"(1, 'The Haters')",Utah
87,Wilkes County Schools,1,0,0,0,1,"(1, 'Looking for Alaska')",North Carolina
88,Willard Public Schools,2,0,0,0,2,"(1, 'How It All Blew Up')",Missouri
89,William S. Hart Union High School District,1,0,0,0,1,"(1, 'This Book Is Gay')",California
90,Williamsburg-James City Public Schools,1,0,0,0,1,"(1, 'Me and Earl and the Dying Girl')",Virginia
91,Wilson County Schools,2,0,0,0,2,"(1, 'The Perks of Being a Wallflower')",Tennessee
92,Anderson School District One,0,0,0,0,0,"(1, ""The Handmaid's Tale"")",South Carolina
93,Catawba County Schools,0,0,0,0,0,"(1, 'The Perks of Being a Wallflower')",North Carolina
94,Academy School District 20,0,0,0,0,0,"(1, 'Identical')",Colorado
95,Humble Independent School District,0,0,0,0,0,"(1, ""All Boys Aren't Blue"")",Texas
96,Iowa City Community Schools,0,0,0,0,0,"(1, 'This Book Is Gay')",Iowa
97,Regional School Unit #24,0,0,0,0,0,"(1, 'Queer: The Ultimate LGBTQ Guide for Teens')",Maine
98,Watchung Borough School District,0,0,0,0,0,"(1, 'Almost American Girl')",New Jersey
99,Washington Township High School,0,0,0,0,0,"(1, 'The Bluest Eye')",New Jersey
100,Western School Corporation,0,0,0,0,0,"(1, 'Daughter of Smoke and Bone')",Indiana
101,Farmington Public Schools,0,0,0,0,0,"(1, 'Tricks')",Arkansas
102,The School District of Palm Beach County,0,0,0,0,0,"(1, 'Morris Micklewhite and the Tangerine Dress')",Florida
103,Gale-Ettrick-Trempealeau School District,0,0,0,0,0,"(1, 'Queer Ducks (and Other Animals): The Natural World of Animal Sexuality')",Wisconsin
104,School District of New London,0,0,0,0,0,"(1, 'Deserted Prisons')",Wisconsin
105,Abington Public Schools,0,0,0,0,0,"(1, 'This Book Is Gay')",Massachusetts
106,West Linn-Wilsonville School District,0,0,0,0,0,"(1, 'Me and Earl and the Dying Girl')",Oregon
107,Jacksonville Independent School District,0,0,0,0,0,"(1, 'Fun Home: A Family Tragicomic')",Texas
108,St. Joseph Public Schools,0,0,0,0,0,"(1, 'What Girls Are Made Of')",Michigan
109,Raytown Quality Schools,0,0,0,0,0,"(1, 'Flamer')",Missouri
110,Spring Lake Public Schools,0,0,0,0,0,"(1, 'Gender Queer: A Memoir')",Michigan
111,Plattsmouth Community Schools,0,0,0,0,0,"(1, 'Melissa (George)')",Nebraska
112,Hamilton County Schools,0,0,0,0,0,"(1, 'Mother Bruce')",Tennessee
113,Independence School District,0,0,0,0,0,"(1, 'Fun Home: A Family Tragicomic')",Missouri
114,School District of Somerset,0,0,0,0,0,"(1, 'The Haters')",Wisconsin
115,Roxbury Public Schools,0,0,0,0,0,"(1, ""Let's Talk About It: The Teen's Guide to Sex, Relationships, and Being a Human (A Graphic Novel)"")",New Jersey
116,Greeley-Evans Weld County School District 6,0,0,0,0,0,"(1, 'The Absolutely True Diary of a Part-Time Indian')",Colorado
117,Webster Groves School District,0,0,0,0,0,"(1, ""Zahra's Paradise"")",Missouri
118,Kutztown School District,0,0,0,0,0,"(1, 'Two Degrees')",Pennsylvania
119,Texarkana Independent School District,0,0,0,0,0,"(1, 'Simon vs. the Homo Sapiens Agenda')",Texas
120,Sartell-St. Stephen ISD 748,0,0,0,0,0,"(1, 'Him')",Minnesota
121,Ogden School District,0,0,0,0,0,"(1, 'I Am Jazz')",Utah
122,Rapid River Public Schools,0,0,0,0,0,"(1, 'American Gods')",Michigan
123,Washingtonville Central School District,0,0,0,0,0,"(1, 'Gender Queer: A Memoir')",New York
124,Kuna School District,0,0,0,0,0,"(1, 'Speak')",Idaho
125,Selinsgrove Area School District,0,0,0,0,0,"(1, 'Staying Fat for Sarah Byrnes')",Pennsylvania
126,Maine School Administrative District #6,0,0,0,0,0,"(1, 'Me and Earl and the Dying Girl')",Maine
127,Wilton-Lyndeborough Cooperative School District,0,0,0,0,0,"(1, 'Body Talk: 37 Voices Explore Our Radical Anatomy')",New Hampshire
128,Charlotte-Mecklenburg Schools,0,0,0,0,0,"(1, 'Sex Plus: Learning, Loving, and Enjoying Your Body')",North Carolina
129,Natrona County Schools,0,0,0,0,0,"(1, 'Trans Bodies, Trans Selves: A Resource By and for Transgender Communities')",Wyoming
130,Wood County Schools,0,0,0,0,0,"(1, ""It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health"")",West Virginia
131,Williston Basin School District #7,0,0,0,0,0,"(1, 'The Upside of Unrequited')",North Dakota
132,Milan Area Schools,0,0,0,0,0,"(1, 'Fun Home: A Family Tragicomic')",Michigan
133,Mehlville School District,0,0,0,0,0,"(1, ""The Handmaid's Tale: The Graphic Novel"")",Missouri
134,Grinnell-Newburg Community School District,0,0,0,0,0,"(1, 'The Glass Castle')",Iowa
135,Sioux Valley School District,0,0,0,0,0,"(1, 'The Perks of Being a Wallflower')",South Dakota
136,Lindbergh Schools,0,0,0,0,0,"(1, ""The Handmaid's Tale: The Graphic Novel"")",Missouri
137,Cheboygan Area Schools,0,0,0,0,0,"(1, 'All American Boys')",Michigan
138,Belding Area Schools,0,0,0,0,0,"(1, 'Looking for Alaska')",Michigan
139,Pleasant Valley School District,0,0,0,0,0,"(1, 'The Absolutely True Diary of a Part-Time Indian')",Pennsylvania
140,North Kansas City Schools,0,0,0,0,0,"(1, ""Zahra's Paradise"")",Missouri
141,Mahopac Central School District,0,0,0,0,0,"(1, 'Looking for Alaska')",New York
142,Wentzville School District,0,0,0,0,0,"(1, ""Hitler's Final Solution"")",Missouri
143,Spring Branch Independent School District,0,0,0,0,0,"(1, ""The Handmaid's Tale"")",Texas
144,Carroll Community School District,0,0,0,0,0,"(1, 'Red Hood')",Iowa
145,Canby Public School District,0,0,0,0,0,"(1, 'Me and Earl and the Dying Girl')",Oregon
146,South Summit School District,0,0,0,0,0,"(1, 'Brave New World')",Utah
147,Park County School District #1,0,0,0,0,0,"(1, 'Speak')",Wyoming
148,Patrick Public Schools,0,0,0,0,0,"(1, 'Student Reader Grade 3 Unit 6: Gods, Giants, and Dwarves')",Virginia
149,Lexington-Richland School District 5,0,0,0,0,0,"(1, 'Between the World and Me')",South Carolina
150,FAU Lab Schools,0,0,0,0,0,"(1, 'Ghost Boys')",Florida
151,Forsyth County Schools,0,0,0,0,0,"(1, 'Oryx and Crake')",Georgia
152,Portage Public Schools,0,0,0,0,0,"(1, 'Push')",Michigan
